ID,Name,Category,Description,Nature_Type,Nature_Label,Mosleh,Calories,CookTime,Difficulty,Nationality,Ingredients_List,Recipe_Steps
"dish-0-1766794336335","آش اماج","ash","آش اماج یکی از آش‌های اصیل و سنتی ایرانی است که با استفاده از دانه‌های دست‌ساز خمیر آرد، عدس و سبزیجات معطر تهیه می‌شود. این آش به دلیل بافت خاص اماج و طعم دلپذیر پیازداغ و نعناع‌داغ، گزینه‌ای بسیار مقوی و لذیذ برای وعده‌های خانوادگی است.","hot","گرم و خشک","سرکه یا آب انار","380","75","متوسط","ایران","آرد گندم:200:گرم | عدس:200:پیمانه | سبزی آش (تره، جعفری، اسفناج):500:گرم | پیاز بزرگ:3:عدد | آب گوشت یا عصاره مرغ:960:میلی‌لیتر | روغن زیتون:60:قاشق | نعناع خشک:10:قاشق | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم","ابتدا عدس را به خوبی شسته و به همراه آب گوشت یا عصاره مرغ در یک قابلمه بزرگ بریزید. قابلمه را روی حرارت قرار دهید تا عدس‌ها کاملاً پخته و نرم شوند. | در حین پخت عدس، آرد را با کمی نمک مخلوط کنید. سپس به آرامی روی آرد کمی آب بپاشید و با نوک انگشتان دست به صورت دورانی مالش دهید تا آرد به شکل دانه‌های بسیار ریز خمیری (اماج) درآید. اماج‌ها را در یک سینی پهن کنید تا کمی در هوای آزاد خشک شوند. | پیازها را به صورت خلالی خرد کرده و در یک تابه با روغن سرخ کنید تا کاملاً طلایی و سبک شوند. در اواخر سرخ شدن، زردچوبه و فلفل سیاه را اضافه کرده و تفت دهید تا عطر ادویه‌ها خارج شود. | سبزی آش خرد شده را به قابلمه عدس‌های پخته شده اضافه کنید و اجازه دهید حدود ۱۵ تا ۲۰ دقیقه با هم بجوشند تا سبزیجات پخته شوند. | بعد از پخت سبزی، اماج‌های آماده شده را به آرامی و به صورت پراکنده به آش اضافه کنید. بلافاصله و به طور مداوم هم بزنید تا دانه‌های اماج به هم نچسبند. اجازه دهید آش حدود ۱۵ دقیقه بجوشد تا اماج‌ها پخته شده و آش کاملاً لعاب بیندازد. | در مرحله نهایی، نیمی از پیاز داغ را به همراه نعناع خشک (که در کمی روغن تفت داده‌اید) به آش اضافه کنید. میزان نمک را تست کرده و پس از اینکه آش جا افتاد، آن را در ظرف سرو ریخته و با باقی‌مانده پیاز داغ و نعناع داغ تزئین کنید."
"dish-0-1766799342395","شوید پلو با تن ماهی ","polo","یک غذای فوری، خوشمزه و دانشجویی که با شوید خشک یا تازه تهیه می‌شود و عطر شوید بوی زهم تن ماهی را کاملاً می‌گیرد.","balanced","معتدل (تقابل شوید گرم و ماهی سرد)","سیر، فلفل قرمز، زنجبیل، زیتون","450","45","آسان","ایران","برنج:4:پیمانه | کنسرو تن ماهی:2:قوطی | شوید خشک:4:قاشق | پیاز:1:عدد | سیر:2:حبه | زعفران دم‌کرده:1:به میزان لازم","کنسروهای تن ماهی را ۲۰ دقیقه بجوشانید. | پیاز را نگینی خرد کرده و در تابه تفت دهید تا طلایی شود. | سیر له شده و ادویه‌ها را به پیاز اضافه کنید. | روغن تن ماهی را گرفته و گوشت ماهی را به پیاز اضافه کنید و کمی تفت دهید. | شوید را اضافه کرده و تفت مختصری دهید. | برنج را آبکش کنید. | مایه تن ماهی و شوید را لابلای برنج آبکش شده در قابلمه بریزید. | اجازه دهید برنج ۳۰ تا ۴۰ دقیقه دم بکشد."
"dish-0-1766876956936","آبگوشت ساده","khorak","آبگوشت یکی از اصیل‌ترین و مقوی‌ترین غذاهای سنتی ایران است که از ترکیب گوشت گوسفندی، حبوبات و سیب‌زمینی تهیه می‌شود. این غذا به دلیل پخت طولانی با حرارت ملایم، طعمی بسیار لذیذ و جا افتاده دارد و معمولاً در دو مرحله (تلیت آب و گوشت کوبیده) سرو می‌شود.","balanced","معتدل مایل به گرم","زیره سبز، دارچین، ترشیجات، آب‌لیمو","2100","240","متوسط","ایران","گوشت گوسفندی با استخوان:500:گرم | سیب‌زمینی متوسط:4:عدد | پیاز متوسط:2:عدد | نخود (اختیاری):100:گرم | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم | آب:1000:میلیلیتر","نخود را از شب قبل خیس کرده و چند بار آب آن را عوض کنید تا نفخ آن به طور کامل گرفته شود. | گوشت گوسفندی را شسته و به همراه پیازهای پوست گرفته و دو نیم شده، نخود خیس خورده و ۱۰۰۰ میلی‌لیتر آب در قابلمه بریزید. | قابلمه را روی حرارت زیاد قرار دهید تا به جوش بیاید، سپس کف روی آب را با قاشق بگیرید تا آبگوشت در نهایت شفاف شود. | زردچوبه و فلفل سیاه را اضافه کرده، درب قابلمه را ببندید و اجازه دهید با حرارت بسیار ملایم به مدت ۳ ساعت بپزد. | سیب‌زمینی‌ها را پوست بگیرید و به صورت درسته به همراه نمک به قابلمه اضافه کنید و اجازه دهید ۱ ساعت دیگر پخت ادامه یابد تا سیب‌زمینی‌ها کاملاً نرم شوند. | پس از پخت کامل، پیازها را خارج کنید. آب را در ظرفی جداگانه برای تلیت کردن نان سرو کنید. | استخوان‌های گوشت را جدا کرده و باقی مواد (گوشت، نخود و سیب‌زمینی) را با گوشت‌کوب کاملاً بکوبید تا یکدست شود و در کنار تلیت سرو نمایید."
"dish-0-1766877137844","خوراک مرغ و سبزیجات","khorak","یک غذای سالم و رژیمی که ترکیبی از فیله مرغ و انواع سبزیجات بخارپز یا تفت داده شده است و هضم آسانی دارد.","cold","سرد و تر (به دلیل مرغ و اکثر سبزیجات)","ادویه‌های گرم مانند فلفل سیاه، زنجبیل، آویشن و زعفران","350","45","آسان","بین‌المللی","سینه مرغ:500:گرم | هویج:200:گرم | کدو سبز:2:گرم | کلم بروکلی:200:گرم | فلفل دلمه‌ای:1:عدد | پیاز:1:عدد | سیر:2:حبه | روغن زیتون:3:قاشق | نمک و فلفل و زردچوبه:1:به میزان لازم | ابلیموی ترش و تازه:2:قاشق","ابتدا سینه مرغ را به قطعات مکعبی خرد کرده و با پیاز خرد شده و کمی روغن تفت دهید تا تغییر رنگ دهد. | سیر رنده شده و ادویه‌ها (زردچوبه و فلفل) را اضافه کنید و تفت دهید. | هویج‌ها را حلقه‌ای خرد کرده و به مرغ اضافه کنید و با کمی آب بگذارید نیم‌پز شود. | کدو سبز، فلفل دلمه‌ای و کلم بروکلی خرد شده را اضافه کنید. | درب تابه را بگذارید تا سبزیجات با بخار و آب مرغ پخته و نرم شوند (حدود ۱۵ دقیقه). | در آخر نمک و آب لیموترش را اضافه کرده و سرو کنید."
"dish-0-1766881812357","سالاد ماکارونی با تن ماهی","khorak","یک سالاد سرد، مقوی و پرطرفدار که ترکیبی از پاستای فرمی، تن ماهی و سبزیجات تازه است. این غذا به عنوان وعده اصلی سبک یا پیش‌غذا در مهمانی‌ها سرو می‌شود.","cold","سرد و تر","آویشن، فلفل سیاه، روغن زیتون، سیاه دانه","480","45","آسان","ایران","ماکارونی فرمی:400:گرم | تن ماهی:360:گرم | خیارشور خرد شده:200:عدد | ذرت پخته شده:160:گرم | فلفل دلمه‌ای رنگی:1:عدد | سس مایونز:240:میلیلیتر | ماست چکیده:120:پیمانه | ابلیموی ترش و تازه:30:قاشق | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم | آویشن:0:به میزان لازم","ابتدا در یک قابلمه بزرگ آب را به همراه کمی نمک و روغن به جوش می‌آوریم. ماکارونی‌های فرمی را اضافه کرده و طبق دستور روی بسته‌بندی (حدود ۸ تا ۱۰ دقیقه) می‌پزیم تا کاملاً نرم شوند، سپس آبکش کرده و با آب سرد می‌شوییم تا حرارت آن گرفته شود و کنار می‌گذاریم تا کاملاً خشک و خنک شوند. | قوطی‌های تن ماهی را به مدت ۲۰ دقیقه در آب در حال جوش می‌جوشانیم. پس از خنک شدن، درب قوطی را باز کرده، روغن آن را کاملاً جدا می‌کنیم و گوشت ماهی را با چنگال به تکه‌های کوچک تقسیم (ریش‌ریش) می‌کنیم. | فلفل دلمه‌ای را به صورت نگینی ریز خرد می‌کنیم. در یک کاسه بزرگ، ماکارونی سرد شده، تن ماهی آماده، خیارشور خرد شده، ذرت پخته و فلفل دلمه‌ای را با هم مخلوط می‌کنیم. | در یک ظرف جداگانه برای تهیه سس، سس مایونز را با ماست چکیده، آبلیمو، نمک، فلفل سیاه و آویشن ترکیب کرده و به خوبی هم می‌زنیم تا بافتی یکدست و کرمی به دست آید. | سس آماده شده را روی مواد سالاد ریخته و با دو قاشق بزرگ به آرامی مواد را زیر و رو می‌کنیم تا تمام اجزا به طور یکنواخت به سس آغشته شوند بدون اینکه ماکارونی‌ها له شوند. | روی ظرف را با سلفون پوشانده و حداقل به مدت ۲ ساعت در یخچال قرار می‌دهیم تا مزه‌ها کاملاً به خورد هم بروند. این سالاد به صورت سرد سرو می‌شود."
"dish-0-1766883317766","خورش قیمه بادمجان مجلسی","stew","یکی از اصیل‌ترین و لذیذترین خورش‌های سفره ایرانی که از ترکیب گوشت گوسفندی، لپه و بادمجان سرخ‌شده تهیه می‌شود و با عطر زعفران و لیمو عمانی طعمی بی‌نظیر می‌یابد.","hot","گرم و خشک","آبغوره، کشک، گوشت گوسفند (برای تعدیل خشکی بادمجان)","480","180","متوسط","Iran","گوشت گوسفندی (ران یا سردست):400:گرم | لپه:150:پیمانه | بادمجان قلمی:4:عدد | پیاز بزرگ:1:عدد | رب گوجه فرنگی:70:قاشق | لیمو عمانی:0:به میزان لازم | زعفران دم‌کرده:0:به میزان لازم | آبغوره یا گرد لیمو:0:به میزان لازم | نمک و فلفل سیاه و زرد چوبه:1:به میزان لازم | روغن مایع:0:به میزان لازم | گوجه‌فرنگی ریز (گیلاسی):100:گرم","پیاز را به صورت نگینی خرد کرده و در قابلمه با مقداری روغن مایع تفت دهید تا سبک و طلایی شود. | گوشت گوسفندی خرد شده را به پیاز اضافه کرده و به خوبی تفت دهید تا تغییر رنگ دهد، سپس زردچوبه و فلفل سیاه را برای عطر بهتر بیافزایید. | لپه‌هایی که از قبل خیس کرده‌اید را به قابلمه اضافه کنید و حدود ۳ دقیقه تفت دهید تا بوی خامی آن‌ها گرفته شده و در حین پخت وا نروند. | رب گوجه‌فرنگی را افزوده و تفت دهید تا کاملاً رنگ باز کند و بوی خامی آن از بین برود. | مقدار کافی آب جوش به قابلمه اضافه کنید و اجازه دهید خورش با حرارت ملایم به مدت ۲ تا ۳ ساعت بپزد تا گوشت و لپه کاملاً مغزپخت شوند. | لیمو عمانی‌ها را با چنگال سوراخ کرده و در ۳۰ دقیقه پایانی پخت به خورش اضافه کنید تا طعم آن‌ها خارج شده اما تلخی ایجاد نکنند. | بادمجان‌ها را پوست بگیرید، نمک بزنید و پس از ۳۰ دقیقه بشویید و خشک کنید، سپس در روغن تفت دهید تا کاملاً سرخ شوند. | در ۱۵ دقیقه آخر پخت، زعفران دم‌کرده و آبغوره (یا گرد لیمو) را برای تنظیم طعم و عطر به خورش اضافه کنید و نمک را اندازه نمایید. | در مرحله نهایی، بادمجان‌های سرخ‌شده و گوجه‌فرنگی‌های گیلاسی را روی خورش بچینید تا به مدت ۱۰ دقیقه با بخار خورش نرم شده و طعم سس را به خود بگیرند."
"dish-0-1766883592583","خورش ماش و کدو","stew","یک خورش اصیل و رژیمی ایرانی که با ترکیب ماش، کدو سبز و سبزیجات معطر تهیه می‌شود. این خورش به دلیل داشتن پروتئین گیاهی و فیبر بالا، گزینه‌ای بسیار سالم و مغذی برای وعده ناهار یا شام است.","cold","سرد و تر","زیره سبز، فلفل سیاه و نعنا داغ","240","50","آسان","ir","ماش:200:پیمانه | کدو سبز متوسط:800:گرم | پیاز درشت:1:عدد | سیر:3:حبه | نمک و فلفل و زردچوبه:1:به میزان لازم | شوید خشک (اختیاری):8:قاشق | نمک و فلفل سیاه و زرد چوبه:1:به میزان لازم | آبلیمو تازه:30:میلی‌لیتر | روغن زیتون:45:قاشق | آب:400:میلیلیتر","ماش را از چند ساعت قبل خیس کرده و سپس با مقدار کافی آب بپزید تا کاملاً نرم شود اما بافت آن له نشود. | پیاز را به صورت نگینی خرد کرده و در روغن زیتون تفت دهید تا طلایی و سبک شود. | سیر خرد شده را به پیاز اضافه کرده و پس از چند ثانیه تفت دادن، زردچوبه را اضافه نمایید. | کدوها را به صورت حلقه‌ای یا نگینی خرد کرده و به تابه اضافه کنید و کمی تفت دهید تا رنگ بگیرند. | ماش پخته شده را به همراه ۴۰۰ میلی‌لیتر آب به مخلوط کدو و پیاز اضافه کنید. | شوید خشک، نمک و فلفل سیاه را به خورش بیفزایید و درب ظرف را بگذارید تا با حرارت ملایم کدوها بپزند و خورش کاملاً جا بیفتد. | در ۵ دقیقه پایانی پخت، آبلیمو تازه را اضافه کرده و طعم خورش را تنظیم کنید. | در صورت تمایل می‌توانید در انتها مقداری نعنا داغ برای عطر و طعم بهتر روی خورش بریزید."
"dish-0-1766883843657","خورش به آلو کلاسیک","stew","یک خورش اصیل و مجلسی ایرانی با طعم ملس که از ترکیب به، آلو بخارا و گوشت گوسفندی تهیه می‌شود. این غذا به دلیل عطر بی‌نظیر به و خواص فراوان آن، یکی از محبوب‌ترین غذاهای فصل پاییز است.","balanced","معتدل (مایل به گرمی اگر شیرین باشد)","سکنجبین (اگر شیرین باشد)، عسل یا دارچین (اگر ترش باشد)","480","150","متوسط","ir","گوشت ماهیچه یا خورشتی:500:گرم | به درشت:500:عدد | آلو بخارا:150:عدد | پیاز:1:عدد | شکر:30:به میزان لازم | ابلیموی ترش و تازه:15:قاشق | زعفران دم‌کرده غلیظ:1:به میزان لازم | رب گوجه فرنگی:45:قاشق | روغن و کره:50:گرم | نمک، فلفل، زردچوبه و دارچین:0:به میزان لازم","پیاز را نگینی خرد کرده و با روغن در قابلمه تفت دهید تا سبک و طلایی شود. سپس گوشت را اضافه کرده و همراه با زردچوبه و فلفل سرخ کنید تا تغییر رنگ دهد. | رب گوجه فرنگی را به گوشت اضافه کرده و تفت دهید تا بوی خامی آن گرفته شود، سپس مقداری آب جوش اضافه کرده و اجازه دهید گوشت با حرارت ملایم نیم‌پز شود. | به‌ها را شسته، هسته بگیرید و به صورت مکعبی درشت (حبه قندی) خرد کنید. آن‌ها را در کمی کره یا روغن تفت دهید تا در حین پخت له نشوند و شکل خود را حفظ کنند. | آلوها را شسته و خیس کنید؛ سپس در یک ساعت پایانی پخت گوشت، به همراه به‌های تفت داده شده به خورش اضافه کنید. | شکر، آبلیمو، زعفران دم‌کرده و پودر دارچین را در نیم ساعت آخر برای ایجاد طعم ملس و عطر بهتر به خورش بیفزایید. | حرارت را بسیار ملایم کنید تا خورش کاملاً جا افتاده و روغن بیندازد، دقت کنید که به‌ها نباید بیش از حد له شوند."
"dish-0-1766884212692","خورش شش‌انداز بادمجان","stew","یک خورش اصیل و سنتی گیلانی که به دلیل استفاده از گردو و رب انار، طعمی شبیه به فسنجان دارد اما با بادمجان سرخ‌شده تهیه می‌شود و انتخابی عالی برای علاقه‌مندان به غذاهای گیاهی است.","hot","گرم و خشک","رب انار، ماست، کشک","480","150","متوسط","ir","بادمجان قلمی:600:عدد | گردوی آسیاب شده:200:گرم | رب انار:45:قاشق | پیاز:1:عدد | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم | روغن زیتون:60:قاشق | آب سرد:600:لیتر","پیاز را پوست گرفته و رنده کنید، سپس آن را در قابلمه ریخته و به همراه گردوی آسیاب شده روی حرارت ملایم کمی تفت دهید تا بوی خامی گردو گرفته شود. | آب سرد را به قابلمه اضافه کرده و حرارت را زیاد کنید تا به جوش بیاید، سپس شعله را بسیار کم کرده و اجازه دهید گردو به مدت ۲ تا ۳ ساعت به آرامی بجوشد و روغن بیندازد. | در این فاصله بادمجان‌ها را پوست بگیرید و به صورت مکعبی درشت خرد کنید. در یک تابه مقداری روغن ریخته و بادمجان‌ها را سرخ کنید تا کاملاً طلایی شوند. | پس از اینکه گردو به روغن افتاد، رب انار، نمک، فلفل سیاه و زردچوبه را به خورش اضافه کنید و هم بزنید تا رنگ رب انار باز شود. | در ۲۰ دقیقه پایانی پخت، بادمجان‌های سرخ شده را به آرامی به خورش اضافه کنید تا طعم‌ها با هم ترکیب شوند و بادمجان‌ها نرم شوند اما له نشوند. | اجازه دهید خورش کاملاً غلیظ شود و جا بیفتد، سپس آن را در ظرف مناسب کشیده و همراه با کته زعفرانی سرو کنید."
"dish-0-1766956020736","کله جوش کرمانی","soup","کله‌جوش یکی از غذاهای سنتی و اصیل ایرانی و به‌ویژه استان کرمان است که به دلیل داشتن کشک و گردو، منبع غنی از کلسیم و فسفر محسوب می‌شود و معمولاً با نان خشک ترید می‌گردد.","balanced","undefined","خرما، ترب، مغز گردو","420","30","آسان","ir","کشک ساییده شده محلی:400:میلیلیتر | مغز گردو خرد شده:200:پیمانه | پیاز متوسط:3:عدد | نعنا خشک:15:گرم | روغن حیوانی:30:میلی‌لیتر | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه و زرد چوبه:1:به میزان لازم | آب:480:میلیلیتر","پیازها را به صورت خلالی و یکدست خرد کرده و در قابلمه مناسب با روغن حیوانی تفت دهید تا کاملاً طلایی و سبک شوند. | مغز گردوی خرد شده را به پیاز داغ اضافه کنید و حدود دو دقیقه تفت دهید تا گردو کمی روغن پس داده و عطر آن خارج شود. | زردچوبه، فلفل سیاه و نعنا خشک را اضافه کنید و سریعاً هم بزنید تا مواد با هم مخلوط شوند؛ دقت کنید که نعنا نباید زیاد حرارت ببیند چون تلخ می‌شود. | کشک را با ۴۸۰ میلی‌لیتر آب رقیق کرده و به مواد تفت داده شده در قابلمه اضافه کنید. | حرارت را ملایم کرده و مدام هم بزنید تا کشک داغ شده و بخار از آن بلند شود؛ توجه داشته باشید که غذا نباید به نقطه جوش برسد چون باعث بریدن کشک می‌شود. | به محض داغ شدن، شعله را خاموش کرده، نمک را اندازه کنید (با احتیاط به دلیل شور بودن کشک) و غذا را با نان سنگک خشک ترید کرده و سرو نمایید."
